MSC,NR SZTAFETY,team,Kategoria dodatkowa,czas_netto,plec
100,479,IPOPEMA MARATHON TEAM I,BANKÓW,03:22:26,M
101,560,JEZUICI,,03:22:47,M
102,439,BASKET REFS TEAM,,03:23:06,M
103,526,GENERALI RUNNING TEAM 2,,03:23:10,M
104,547,SAMORZĄD PAJĘCZNO,,03:23:14,M
105,591,GURU RUNNERS 2,,03:23:15,M
106,300,KARMAR,,03:23:18,M
107,294,EDC RUNNERS II,,03:23:52,M
108,168,DAT VAT,,03:24:02,M
109,164,ENTERPRISE INVESTORS,,03:24:15,M
110,450,ATMEDIA,,03:24:20,M
111,241,WIĘCEJ FUNKU!,,03:24:22,M
112,566,BIEGACZE,,03:24:29,M
113,225,CRIDO IN MOTION BOSTON,,03:24:36,M
114,141,ASTMATYCZNE GRUBASY Z AWOKADO,,03:24:37,M
115,179,HP RUN 1,,03:24:41,M
116,123,FUN SWIM,,03:24:47,M
117,178,DZIECI PRL-U,,03:24:58,M
118,127,BYLE DO METY,,03:25:16,M
119,404,CHYBA TY,,03:25:24,M
120,291,EDC RUNNERS HPT  I,,03:25:24,M
121,533,KIDZCORNER STUMILOWY,,03:25:42,M
122,115,ACCENTURE TODO SALENCIAKI,,03:25:44,M
123,485,DELOITTE ADVENTURE TEAM POZNAŃ,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:25:59,M
124,281,POLSAT BIEGA 2,,03:26:12,M
125,587,ALLEN & OVERY RUNNING TEAM,,03:26:41,M
126,260,ZNIKAJĄCY PUNKT,,03:27:01,M
127,563,BANK BPH - PO PROSTU FAIR 2,BANKÓW,03:27:11,M
128,223,ŻWAWE ŻUBRY,BANKÓW,03:27:36,M
129,139,GAŁKA SKŁAD I,,03:27:40,M
130,248,PRASKIE RYDWANY OGNIA,FIRM UBEZPIECZENIOWYCH,03:27:47,M
131,132,RUN RACE TEAM,,03:27:50,M
132,166,GOOGLE ENDURANCE TEAM 4,,03:27:55,M
133,613,NORDEA OPERATIONS CENTRE (NOC) 2,BANKÓW,03:28:00,M
134,278,SODEXO RUNNING TEAM,,03:28:01,M
135,302,GLAXOSMITHKLINE PHARMA,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:28:04,M
136,271,GUMOWE LACZKI,,03:28:05,M
137,330,WEDEL,,03:28:19,M
138,200,DZIKI BAGIENNE,,03:28:19,M
139,418,KONDYCJA JUNIORS,,03:28:31,M
140,532,KIDZCORNER ,,03:28:32,M
141,502,LHI,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:28:33,M
142,149,GTS 2,,03:28:42,M
143,452,PWC RUNNING TEAM III,,03:28:57,M
144,473,TYGRYSY EUROPY,FIRM UBEZPIECZENIOWYCH,03:29:05,M
145,209,CISCO RUNNING SQUAD,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:29:09,M
146,426,UNIQA RUNNERS 3,FIRM UBEZPIECZENIOWYCH,03:29:26,M
147,570,NIKE2,,03:29:28,M
148,216,CASTORAMA I,,03:29:30,M
149,405,AMNESTY INTERNATIONAL TEAM,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:29:31,M
150,129,SUPER TEAM,,03:29:33,M
151,572,NIKE4,,03:29:38,M
152,239,RĄCZA SZÓSTKA,,03:29:43,M
153,257,SCM,,03:29:45,M
154,303,STRÖER RUNNING TEAM,,03:29:45,M
155,189,COFACE POLAND 2,FIRM UBEZPIECZENIOWYCH,03:29:53,M
156,574,AKS POLONIA WARSZAWA II,,03:29:58,M
157,274,SIEDLCE,,03:30:02,M
158,543,JANSSEN,,03:30:02,M
159,611,GOSIR PIASECZNO,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:30:14,M
160,550,BMW POLSKA,,03:30:15,M
161,138,OBI-BOKI RUNNING CREW I,,03:30:16,M
162,187,ZRYTE KMIOTY,,03:30:17,M
163,536,POLARNY KLUB SPORTOWY HORNSUND,,03:30:22,M
164,305,GAZELE BIZNESU,,03:30:31,M
165,410,12TRI.PL 4,,03:30:34,M
166,190,QUINTILES,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:30:43,M
167,170,EKIDEN NAVO RUNNING TEAM,,03:30:48,M
168,228,LIBERTY DIRECT ,FIRM UBEZPIECZENIOWYCH,03:30:50,M
